LOGNAME,1283748,0028.csv
VER,1283752,3
MSG,1308409,CAN init done
MSG,1321400,I2C init done
MSG,acc_mag found
ERR,am whoami,0
MSG,1349400,Sending CAN test message
ACC,1550877,27328,-157136,1006744
GYR,1551847,992,156,-132
CAN,1551860,1,01F0A003,811400000030032D
CAN,1551872,1,0C201000,0142000000000000
CAN,1551884,1,0C301000,0160000000000000
CAN,1551896,1,01F0A009,0000800103E80000
EGT,1553005,17.94
CAN,1603093,1,0C301000,015F000000000000
CAN,1603105,1,01F0A020,0000000000000000
CAN,1603117,1,01F0A010,0000000000323200
CAN,1603143,1,01F0A008,3274007300282800
CAN,1615568,1,0C201000,0143000000000000
CAN,1615580,1,0C001000,012D000000000000
CAN,1615593,1,0C301000,0160000000000000
CAN,1615605,1,0C101000,0142000000000000
CAN,1615619,1,0C201000,0142000000000000
ACC,1617098,26352,-164944,999424
GYR,1618067,23,640,93
CAN,1618080,1,0C001000,012A000000000000
CAN,1618093,1,0C301000,0161000000000000
ACC,1619108,23912,-163968,1002840
GYR,1620078,-109,-1046,-140
CAN,1620118,1,01F0A000,00004591028F1627
CAN,1620673,1,01F0A003,83140000003003EC
CAN,1620998,1,01F0A004,03D1000100000100
CAN,1621320,1,01F0A005,000000000000000E
CAN,1626155,1,0C201000,0143000000000000
CAN,1626770,1,0C001000,012C000000000000
CAN,1627628,1,0C301000,0161000000000000
CAN,1630586,1,01F0A000,0000458D02861627
CAN,1631085,1,01F0A020,0000000000000000
CAN,1631415,1,01F0A010,0000000000323200
CAN,1631735,1,000A0630,FFFFFFFF00000000
CAN,1632043,1,01F0A003,83140000003003EC
CAN,1632378,1,01F0A022,0000000000000000
CAN,1632753,1,01F0A011,0000000000000000
CAN,1633082,1,01F0A004,03D1000100000100
CAN,1633395,1,01F0A012,0649000000003200
CAN,1633698,1,01F0A005,000000000000000E
CAN,1634033,1,01F0A006,0080000000008000
CAN,1634363,1,01F0A007,FFFF00CB00320B00
CAN,1634711,1,01F0A009,0000800103E80000
CAN,1636485,1,0C101000,0142000000000000
CAN,1636779,1,0C201000,013F000000000000
CAN,1637327,1,0C001000,012D000000000000
CAN,1638174,1,0C301000,0160000000000000
CAN,1639633,1,01F0A000,0000457B02861627
CAN,1639954,1,01F0A003,83140000003003EC
CAN,1640279,1,01F0A004,03D0000100000100
CAN,1640723,1,01F0A005,000000000000000E
CAN,1642760,1,01F0A00B,03E8000000003200
CAN,1643068,1,01F0A00D,0012E10000032400
CAN,1643375,1,000A0620,0000000000000000
CAN,1643662,1,01F0A00A,6464646464640000
CAN,1647360,1,0C201000,0140000000000000
CAN,1647895,1,0C001000,012D000000000000
CAN,1648719,1,0C301000,015F000000000000
CAN,1649632,1,01F0A000,0000456C02691627
CAN,1649953,1,01F0A003,82140000003003EC
CAN,1650276,1,01F0A004,03CF000100000100
CAN,1650705,1,01F0A005,000000000000000E
CAN,1651043,1,01F0A006,0080000000008000
CAN,1651368,1,01F0A007,FFFF00CB00320B00
CAN,1651707,1,01F0A009,0000800103E80000
EGT,1654134,17.94
CAN,1654739,1,01F0A020,0000000000000000
CAN,1655085,1,01F0A010,0000000000323200
CAN,1655415,1,01F0A022,0000000000000000
CAN,1655718,1,01F0A011,0000000000000000
CAN,1656040,1,01F0A012,0649000000003200
CAN,1657670,1,0C101000,0142000000000000
CAN,1657967,1,0C201000,0144000000000000
CAN,1658436,1,0C001000,012B000000000000
CAN,1659277,1,0C301000,0161000000000000
CAN,1659634,1,01F0A000,0000453F02621627
CAN,1659955,1,01F0A003,82140000003003EC
CAN,1660279,1,01F0A004,03CD000100000100
CAN,1660715,1,01F0A005,000000000000000E
ACC,1669064,27328,-163968,1001376
GYR,1670034,-1023,-484,210
CAN,1670047,1,0C201000,0144000000000000
CAN,1670060,1,0C001000,012D000000000000
CAN,1670072,1,01F0A000,00004563026E1627
CAN,1670084,1,0C301000,0160000000000000
CAN,1671126,1,01F0A004,03CF000100000100
CAN,1671517,1,01F0A005,000000000000000E
CAN,1671845,1,01F0A006,0080000000008000
CAN,1672170,1,01F0A007,FFFF00CB00320A00
CAN,1672507,1,01F0A009,0000800103E80000
CAN,1678783,1,01F0A020,0000000000000000
CAN,1679080,1,0C101000,0142000000000000
CAN,1679373,1,01F0A010,0000000000323200
CAN,1679670,1,0C001000,012A000000000000
CAN,1679964,1,000A0630,FFFFFFFF00000000
CAN,1680259,1,0C201000,0141000000000000
CAN,1680554,1,01F0A022,0000000000000000
CAN,1680847,1,0C301000,015B000000000000
CAN,1681128,1,01F0A000,0000456802661628
CAN,1681454,1,01F0A011,0000000000000000
CAN,1681771,1,01F0A003,83140000003003FA
CAN,1682094,1,01F0A012,0649000000003200
CAN,1682392,1,01F0A004,03CF000100000100
CAN,1682736,1,01F0A005,000000000000000E
CAN,1690211,1,0C201000,0142000000000000
CAN,1690505,1,0C001000,012D000000000000
CAN,1690790,1,01F0A000,0000455802831628
CAN,1691289,1,01F0A00B,03E8000000003200
CAN,1691585,1,0C301000,0160000000000000
CAN,1691870,1,01F0A00D,0012E00000032400
CAN,1692177,1,000A0620,0000000000000000
CAN,1692709,1,01F0A00A,6464646464640000
CAN,1693008,1,01F0A003,82140000003003FA
CAN,1753613,1,01F0A004,03D0000100000100
CAN,1753625,1,01F0A005,000000000000000E
CAN,1753637,1,01F0A006,0080000000008000
CAN,1753649,1,01F0A012,0649000000003200
ACC,1755140,27328,-162016,1001376
GYR,1756110,-734,-468,523
CAN,1756124,1,01F0A005,000000000000000E
CAN,1756136,1,0C001000,012A000000000000
CAN,1756148,1,01F0A006,0080000000008000
CAN,1756160,1,01F0A009,0000800103E80000
EGT,1757270,17.88
CAN,1759649,1,01F0A000,0000455402481628
CAN,1759966,1,01F0A003,8314000000300405
CAN,1760291,1,01F0A004,03CE000100000100
CAN,1760815,1,01F0A005,000000000000000E
CAN,1763888,1,0C101000,0142000000000000
CAN,1764251,1,0C201000,0143000000000000
CAN,1764863,1,0C001000,012D000000000000
CAN,1765440,1,0C301000,0160000000000000
ACC,1769066,22936,-165920,1011624
GYR,1770036,-1101,554,-289
CAN,1770049,1,01F0A000,0000455C023C1628
CAN,1770061,1,01F0A003,8214000000300405
CAN,1770289,1,01F0A004,03CF000100000100
CAN,1770821,1,01F0A005,000000000000000E
CAN,1771150,1,01F0A006,0080000000008000
CAN,1771471,1,01F0A007,FFFF00CC00320A00
CAN,1771812,1,01F0A009,0000800103E80000
CAN,1774790,1,0C201000,0141000000000000
CAN,1775088,1,01F0A020,0000000000000000
CAN,1775400,1,0C001000,012D000000000000
CAN,1775693,1,01F0A010,0000000000323200
CAN,1775987,1,0C301000,0160000000000000
CAN,1776282,1,000A0630,FFFFFFFF00000000
CAN,1776589,1,01F0A022,0000000000000000
CAN,1776890,1,01F0A011,0000000000000000
CAN,1777203,1,01F0A012,0649000000003200
CAN,1779824,1,01F0A000,0000453F023F1628
CAN,1780144,1,01F0A003,8214000000300407
CAN,1780469,1,01F0A004,03CD000100000100
CAN,1780790,1,01F0A005,000000000000000E
CAN,1785079,1,0C101000,0141000000000000
CAN,1785376,1,0C201000,0142000000000000
CAN,1785944,1,0C001000,012D000000000000
CAN,1786533,1,0C301000,015E000000000000
