Time [s],Coolant Temp [F],Engine Speed [RPM],Exhaust Gas Temp [F]
1.511731,122.0,335.55116999999996,-
1.511798,-,-,930.681640625
1.524286,123.8,6109.4532,-
1.52801,123.8,6154.76628,-
1.53548,123.8,6162.57888,-
1.546682,123.8,6122.343989999999,-
1.557923,123.8,6243.829919999999,-
1.565093,123.8,6283.67418,-
1.576284,123.8,6273.12717,-
1.598438,123.8,6276.25221,-
1.605892,123.8,6261.01764,-
1.625505,123.8,6218.438969999999,-
1.636792,123.8,6245.00181,-
1.647732,123.8,6234.4547999999995,-
1.658669,123.8,6193.43865,-
1.66622,123.8,6189.14172,-
1.677346,123.8,6254.376929999999,-
1.688593,123.8,6255.93945,-
1.696125,123.8,6210.23574,-
1.714862,-,-,961.4982910156247
1.72906,123.8,6314.143319999999,-
1.736191,123.8,6362.19081,-
1.747136,123.8,6484.458,-
1.757637,123.8,6550.083839999999,-
1.765111,123.8,6716.492219999999,-
1.776379,123.8,6778.60239,-
1.787545,123.8,6919.61982,-
1.798744,123.8,7033.683779999999,-
1.806294,123.8,7121.575529999999,-
1.817195,123.8,7277.82753,-
1.838916,123.8,7439.157719999999,-
1.846397,123.8,7516.89309,-
1.857642,123.8,7568.846879999999,-
1.865364,123.8,7677.832649999999,-
1.876612,123.8,7761.8180999999995,-
1.887841,123.8,7844.241029999999,-
1.899019,123.8,7986.43035,-
1.906548,123.8,8081.74407,-
1.917712,123.8,8168.073299999999,-
1.917792,-,-,1084.764892578125
1.937113,123.8,8359.87263,-
1.956222,123.8,8496.98376,-
1.967436,123.8,8577.453539999999,-
1.97864,123.8,8612.21961,-
1.986108,123.8,8605.96953,-
1.997615,123.8,8646.98568,-
2.008775,123.8,8578.62543,-
2.019718,123.8,8497.374389999999,-
2.037691,123.8,8387.60736,-
2.045163,123.8,8191.12047,-
2.056328,123.8,8063.384459999999,-
2.078769,123.8,7854.7880399999995,-
2.085919,123.8,7736.4271499999995,-
2.097142,123.8,7630.175789999999,-
2.108323,123.8,7508.29923,-
2.119608,-,-,1104.705078125
2.127076,123.8,7314.15612,-
2.1387,122.0,7187.9826299999995,-
2.146211,122.0,7096.96584,-
2.157091,122.0,6995.011409999999,-
2.168303,122.0,6939.15132,-
2.175817,122.0,6865.71288,-
2.19822,122.0,6691.88253,-
2.205388,122.0,6577.03731,-
2.21656,122.0,6492.2706,-
2.227787,122.0,6403.2069599999995,-
2.247465,122.0,6285.627329999999,-
2.258642,122.0,6217.26708,-
2.266168,122.0,6127.03155,-
2.277348,122.0,6082.890359999999,-
2.288587,122.0,6015.701999999999,-
2.296028,122.0,5957.49813,-
2.318499,122.0,5826.6370799999995,-
2.321967,-,-,1064.8247070312495
2.325679,122.0,5755.93305,-
2.34365,122.0,5700.0729599999995,-
2.347423,122.0,5626.63452,-
2.358367,122.0,5556.32112,-
2.365412,122.0,5469.991889999999,-
2.375244,122.0,5398.89723,-
2.386616,122.0,5312.567999999999,-
2.397901,122.0,5237.17641,-
2.405409,122.0,5186.78514,-
2.416386,122.0,5119.59678,-
2.445431,122.0,4990.29825,-
2.445463,122.0,4912.5628799999995,-
2.456413,122.0,4873.499879999999,-
2.467682,122.0,4804.749,-
2.475286,122.0,4760.21718,-
2.486507,122.0,4693.0288199999995,-
2.497778,122.0,4620.76227,-
2.50529,122.0,4572.3241499999995,-
2.516301,122.0,4518.02658,-
2.52397,-,-,1072.07568359375
2.527622,122.0,4457.478929999999,-
2.548763,122.0,4418.025299999999,-
2.556315,122.0,4339.8993,-
2.567574,122.0,4369.977809999999,-
2.578825,122.0,4350.0556799999995,-
2.586389,122.0,4367.63403,-
2.597337,122.0,4362.55584,-
2.608561,122.0,4335.60237,-
2.616053,122.0,4338.7274099999995,-
2.627343,122.0,4325.83662,-
2.638636,122.0,4309.03953,-
2.657772,122.0,4421.9316,-
2.669057,122.0,4456.30704,-
2.676547,122.0,4505.52642,-
2.687803,122.0,4503.9639,-
2.695392,122.0,4619.59038,-
2.706689,122.0,4695.76323,-
2.717691,122.0,4710.216539999999,-
2.724883,-,-,1121.019775390625
2.728658,122.0,4728.18552,-
